,title,full_text,reference,asset_class,page_number,financial_crime_category
10,Real estate shares – falsely inflating liquidity and share price,"Between 3 September 2007 and 2 February 2009, a securities company purchased 556,452 shares in a real estate company, of which it sold 416,577. The securities company spread these transactions over the period, purchasing at 107 opening auctions and 52 closing auctions and selling at 96 opening auctions and 27 closing auctions. The operations carried out by the securities company consisted mainly of transactions involving no change in ownership of the shares. In some of the sessions, the securities firm accounted for 100% of the total shares volume traded in the opening auctions. The trading gave false indications to the market as to the liquidity and price of the shares.","Spanish Audencia Nacional, 2016, Securities company",Equities,20,Price manipulation
11,High frequency trading algorithms – influencing price of shares,"The company, through two intermediaries, made daily purchase orders for a limited number of shares in an infrastructure company at a limited price, with the legitimate aim of taking a long position in that security. In parallel, on the basis of high frequency trading algorithms, it also carried out a high number of automatic purchase orders at market price, with the aim of influencing the price. The effect of this behaviour was to moderate or correct downward trends and provide an average price of the trading session above the regular average price, enabling the company to close its position at a profit.","Spanish Audiencia Nacional, 2019, in the matter of Gestión de Patrimonios Mobiliarios SV SA",Equities,20,Price manipulation
12,Influencing price of shares on Euronext Amsterdam,"Lexon was found to have manipulated the price of four equity funds listed on Euronext Amsterdam. Lexon's actions resulted in potentially misleading signals with regard to the price setting of these instruments. In addition, Lexon brought the prices of these instruments to an artificial level. Lexon manipulated the market in the following manner: after buying shares in an issuer at a low price level, Lexon submitted small orders at increasingly higher prices. As a result, investors (including algorithmic traders) were encouraged to issue increasingly higher buy and sell prices causing the price of the shares to rise. Lexon was then able to sell its shares with a profit at this higher price. In other instances, Lexon also did the opposite: it sold shares at a high price level and then brought the price down to buy shares again at the lower price. In certain cases, Lexon also traded with itself as the counterparty. In these cases, Lexon was the seller of the shares that it bought. Using these methods, Lexon manipulated the price of four issuers listed at Euronext Amsterdam.","Authority for the Financial Markets (Stichting Autoriteit Financiële Markten, the ""AFM""), 2017, in the matter of Lexon",Equities,20,Price manipulation
13,Manhattan Electrical Supply Co – forcing price increase,"In 1929, Brown owned (or controlled) 90,900 shares in the Manhattan Electrical Supply Co., Inc., of which he was president. The company had 125,000 shares listed on the New York Stock Exchange. McCarthy became associated with Brown in December 1929 and they agreed to sell the shares at constantly rising prices. To accomplish this, they opened 91 accounts with 52 different brokers, in their own names and those of their wives, and in the names of others. A single set of books contained all the purchases and sales, and the actors furnished the bulk of the money to carry out the strategy. The actors paid brokers to recommend the stock and conduct ""washing"" sales which were made possible by the numerous accounts controlled by the defendants between whom transactions could be executed and then cancelled. The actors also published false statements of the earnings of the company. By these means they forced up the price to $55 in May 1930. Trading in the stock was suspended for several days, after which the stock opened below $20 and never recovered.","US, 1935, in the matter of Brown et al",Equities,22,Price manipulation
14,UKEM – ramping to manipulate share price,"The Thailand SEC filed a criminal charge alleging that seven conspirators manipulated the share price of Union Petrochemical Plc. ('UKEM'). They colluded to trade UKEM shares through seven trading accounts, inflated and stabilised the share price and matched orders within the group. They ramped the closing price of UKEM's shares from 2.60 baht per share on 18 July 2008 to close at 6.20 baht per share on 20 August 2008.","Thailand SEC, 2014, in the matter of Porntep Thawornwisuthikul and Arada Lertpinyopap, former executives of United Securities Plc., Naruephol Chatchalermvit, Prayuth Lertpinyopap, Karuna Kaewmanee, and another",Equities,22,Price manipulation
15,Terni Energia – false and misleading indications of share demand and price,"It was found that Mr F.S, Mr F.E and Mrs P.L. had colluded to fix the share price of Terni Enterprise for Research and New Industries S.p.A ('Terni Energia') at an artificially high level by providing false and misleading indications to the market relating to the demand and price of Terni Energia's shares. The individuals engaged in the collusive behaviour to inflate the company's share prices in the period immediately following the listing of Terni Energia on the 'mercato Expandi' (following the communication of a placement reserved for institutional investors). The conduct was characterised by the continued and aggressive trading of large quantities of the company's shares between 25 July 2008 and 20 March 2009. The three individuals adopted similar trading methods and alternated in making large purchases of Terni Energia shares. During this period, the price of the company's shares remained stable, even though the performance of the FTSE MIB index was characterised by an almost continuous negative trend (-44.87%). Once the individuals ceased trading, the share price progressively decreased, reaching €1.091 on 30 June 2009 (-27.26% compared to 31st March 2009), thus realigning itself to the FTSE MIB index.","Consob, Italian Supreme Court of Cassation, 2010, 2018, Mr F.S., Mr F.E. and Mrs P.L. (re Terni Enterprise for Research and New Industries)",Equities,23,Price manipulation
16,On The Beach Group IPO – undermining proper price formation,"Stephany was a portfolio fund manager at Newton Investment Management Limited, managing four funds that invested in UK equities. On 21 September 2015, Stephany contacted external fund managers at competitor firms in relation to On The Beach Group plc's initial public offering (the ""IPO""), as the lead fund manager in respect of this IPO. The FCA found that this was an attempt by Stephany to influence the fund managers to cap their orders for an allocation of shares at the same price limit as his order. The FCA concluded that this was an attempt to get investors to use their collective power to undermine the proper price formation process of the IPO, which risked causing harm to other market participants. This followed a similar attempt by Stephany on 9 July 2015 in relation to a placing by Market Tech Holdings Limited.","FCA, 2019, in the matter of Paul Stephany",Equities,23,Price manipulation
17,Onion futures – cornering the market to manipulate price,"In 1955, two onion traders, Siegel and Kosuga, cornered the onion futures market on the Chicago Mercantile Exchange. Allegedly, in the autumn of 1955, Siegel and Kosuga attempted to manipulate upward prices of the onion future on the exchange and cash onions, and in the winter of 1956, they manipulated downward prices of onion futures and cash onions. To put upwards pressure on the price of onion futures, they bought sufficient physicals and futures to control 98% of the available onions in Chicago and entered into agreements with onion growers, pursuant to which the growers would purchase and take title of car-lots of onions and merchandise them in regular channels of trade. They agreed that they would make no deliveries of onions on any exchange for the balance of the onion season. The purpose of this agreement was to remove potential deliveries of onions to the Chicago Mercantile Exchange, thereby increasing or preventing a decrease in the prices of futures and of cash onions. To manipulate the price of onion futures downward, Siegel and Kosuga developed a dominant short position in onion futures, maintained that position during the weeks just prior to the beginning of the delivery period while other shorts were covering, carried a large short interest into the delivery month, maintained a complete monopoly of cash supplies and made deliveries as soon as the delivery period opened.","US, 1955, in the matter of Onions. Vincent Kosuga and Sam Siegel",Commodities,24,Price manipulation
18,The Great Salad Oil Swindle,"In what is known as the Great Salad Oil Swindle, Anthony DeAngelis, owner of the Allied Crude Vegetable Oil Refining Corp., created false warehouse receipts for non-existent soybean oil (through a variety of methods including filling storage tanks with water and covering the water with a thin layer of soybean oil on top) and used those receipts as loan collateral to finance heavy trading of soybeans, soybean oil, and cottonseed oil futures (including a 1962 attempt to corner the soybean market). The scandal caused 16 firms (including two Wall Street brokerage houses) to go bankrupt and led to calls for increased regulation of the commodity futures markets.","US, 1963, in the matter of Allied Crude Vegetable Oil Refining Corp. DeAngelis",Commodities,25,Price manipulation
19,Penny stocks – creating unfair trading conditions,"Between April 2005 and January 2006, shares of Alstom and Eurotunnel were still listed among the penny stocks of the Paris stock market with a price of less than €1. During this period, an Italian trading company was the most active participant in these stocks, with orders two to four times larger than those of the next most active participant. It placed sell orders on a forward contract in the last 10 seconds before the close, at a distance very close to the last bid limit for the smallest possible quantity and with a validity period limited to the same day. This was repeated daily for more than 4 months.
The placing of a very large volume of orders at the last bid limit obliged other operators wishing to buy or sell the same securities either to wait for orders placed before their own to be executed in the order book, or to place orders on terms that were less favourable to them.
The Enforcement Committee found that with its dominant position, the trading company created ""unfair trading conditions"" in the market for the two shares in question.","AMF, 2009, in the matter of Safe",Equities,25,Price manipulation
20,Manipulation of NYMEX crude oil contract prices,"The CFTC alleged that, from 2007 through 2008, a common enterprise of crude oil speculators (""Arcadia"") manipulated and attempted to manipulate the contract prices of the New York Mercantile Exchange (""NYMEX"") West Texas Intermediate (""WTI""). According to the CFTC complaint, Arcadia took advantage of a tight physical market, executed a manipulative trading strategy designed to affect NYMEX crude oil futures contract spreads by building a dominant controlling position in physical WTI crude oil deliverable at Cushing, Oklahoma under the NYMEX futures contract; holding the physical position until after futures expiry with the intent to affect NYMEX crude oil spreads and selling off the physical position in a concentrated fashion during the cash window at a loss. The complaint further alleged that Arcadia sought to generate profits by buying WTI futures spreads prior to widening the spreads through their manipulation and selling WTI futures spreads prior to selling their physical WTI crude oil position.","CFTC, 2011, in the matter of Parnon Energy Inc and Arcadia",Commodities,26,Price manipulation
21,Manipulation of gilt price during quantitative easing,"Stevenson (an experienced bond trader formerly at Credit Suisse Securities (Europe) Limited) bought £331 million of the UKT 8.75% 2017 (the ""Bond""), a UK government gilt, between 09:00 and 14:30 on 10 October 2011. The Bond was relatively illiquid and Stevenson's purchases represented approximately 2,700% of the average daily volume traded for the Bond in the previous four months and 92% of volume purchased in the IDB market on 10 October 2011. The price and yield of the Bond significantly outperformed all gilts of similar maturity on 10 October 2011 as a direct result of Stevenson's trading. This trading took place on the first day of the second round of quantitative easing in the UK. During quantitative easing the Bank of England purchased certain gilts from GEMMs, injecting money into the economy. Offers for sale of eligible gilts to the Bank of England could be made by GEMMs between 14:15 and 14:45 on 10 October 2011. Stevenson offered to sell £850 million of the Bond to the Bank of England on 10 October, which included the £331 million acquired that day. Stevenson's offer price to the Bank of England was based upon the prevailing market price for the Bond, which had been influenced upwards by his trading that day. The FCA concluded that Stevenson's trading on 10 October 2011 was designed to move the price of the Bond in an attempt to sell it to the Bank of England at an abnormal and artificial level thereby increasing the potential profit made from the sale of the Bond.","FCA, 2014, in the matter of Stevenson",Rates and Credit,26,Price manipulation
22,"""City Slickers"" – spreading favourable rumours","Hipwell and Bhoyrul were journalists at the Daily Mirror who produced the ""City Slickers"" column in which they tipped various shares. They were convicted of conspiring to use the column to spread favourable rumours about shares between August 1999 and 2000. Hipwell and Bhoyrul would purchase positions in these stocks immediately before they were tipped in the City Slickers column and sell them soon afterwards making a profit from the resulting price increase. Shepherd, a private investor, was also convicted of taking part in the scheme.","UK, 2005, in the matter of Bhoyrul and Hipwell",Equities,27,Price manipulation
23,Touting shares online and via social media platforms,"A Canadian couple, Carol McKeown and Daniel F. Ryan, used their website (PennyStockChaser), Facebook and Twitter accounts to tout various U.S. microcap companies. In some cases, the defendants received shares of these microcap companies from the issuers' affiliates or third parties as compensation for touting the issuers' stocks. McKeown and Ryan used PennyStockChaser and social media accounts to predict significant price increases for the microcap companies, while simultaneously selling their shares on the open market.","US, 2010, in the matter of McKeown and Ryan",Equities,27,Price manipulation
24,UPAC – concealing a significant interest while funding promotional campaign,"The SEC charged Cheung, who was based in Canada and Hong Kong, with concealing a significant interest in United American Petroleum Corp. (""UAPC"") while also funding a secret promotional campaign that increased UAPC's stock before Cheung dumped his shares. The SEC alleged that Cheung ""acquired greater than 10% beneficial ownership"" of UAPC and between ""January and July 2012, Cheung financed a promotional campaign"" through ""blast emails and direct mailings"" that were ""replete with falsehoods"" about the profitability of UAPC. The SEC further alleged that Cheung's promotional campaign ""increased investor demand for UAPC stock and artificially raised its price and trading volume."" The SEC said that Cheung ""urged investors to purchase UAPC shares at the very same time that Cheung was dumping them."" The SEC calculated that Cheung made approximately $542,000 in profit.","US, 2017, in re Joe Yu Cheung (aka Dylon de lu Zhu)",Equities,28,Price manipulation
25,COMplus – market letters to artificially create demand,"According to public BaFin statements, the accused held a large position of shares in COMplus Technologies SE, a company traded on the open market of the Frankfurt Stock Exchange. He then paid for market letters to advertise the stock. The market letters, which were sent via email, recommended the purchase of the stock without disclosing the conflict of interest. The accused used the demand created by that conduct to sell his shares for an inflated price.","District Court of Frankfurt, 2019, in the matter of COMplus Technologies",Equities,28,Price manipulation
26,New Media – Technology Adaptation. Internet.,"In September 2021, the District Court of Massachusetts issued a Final Judgment finding that between 2018 and 2020, Nelson Gomes and others enabled corporate control persons of ""penny stock"" companies to conceal their identities while dumping their company's stock into the market for purchase by unsuspecting investors, allowing the corporate control persons to evade securities laws restricting the sales of shares by corporate control persons absent public registration. According to the judgment, these illegal stock sales constituted a classic ""pump and dump"" scheme, whereby Gomes and others ran promotional campaigns designed to fraudulently increase the price of the stock by capitalizing on the COVID-19 pandemic, including through false claims posted on a company's website that it would be producing personal protective equipment such as facemasks to be used during the pandemic. Gomes and others generated more than $25 million in proceeds from illegal stock sales.","SEC, 2020, Gomes",Equities,28,Price manipulation
27,New Media – Technology Adaptation. Internet and Twitter.,"In 2021, Mark Melnick pled guilty to charges that between 2017 and 2020, he and four other co-conspirators had engaged in a scheme to trade short-term call options in large, publicly traded companies based on materially false rumours about those companies that Ross, Melnick, and others generated and disseminated. According to the plea agreement, Melnick and the co-conspirators worked together to refine a proposed rumour and then acquire short-term call options before disseminating the rumour on one or more online market subscription services and various Twitter accounts, which would drive up the price of the underlying stock and options. It was estimated that Melnick earned approximately $374,000 in profits from the scheme.","US, 2021, in the matter of Melnick",Equities,29,Price manipulation
28,Cocoa spread orders – ensuring trades matching to negate market risk and price competition,"Armajaro Trading Limited (""Armajaro"") and Warenhandelsgesellschaft Corinth mbH (""Corinth""), pre-arranged two cocoa spread cross trades that were entered and executed on the Coffee, Sugar & Cocoa Exchange. Prior to the trades, employees at Armajaro and Corinth had telephone conversations with the broker who arranged the orders to be entered and discussed the quantity and price of the orders that were to be executed. According to the CFTC, the pre-arranged buy and sell spread orders by Amajaro and Corinth ensured the trades matching on the trading floor and negated market risk and price competition.","CFTC, 2005, in the matter of Armajaro and Corinth",Commodities,33,Circular trading
29,Wash trades between personal and relationship accounts,"The Chairman of VST Holdings, Li Jialin, executed matched trades between three accounts which he was found to have controlled. Between August 2007 and January 2008, Li operated three different accounts, one in his own name, another jointly with his wife and a third in his brother's name, through which he bought and sold VST shares in transactions that involved no change in the beneficial ownership of those shares. These transactions increased the price of VST. The Securities and Futures Commission alleged that the increase in the VST share price supported the year-end share price performance.","SFC, 2012, in the matter of VST Holdings",Equities,33,Circular trading
30,US Dollar and Bitcoin – bilateral wash trades,"Tera offered a non-deliverable forward contract based on the relative value of the U.S. Dollar and Bitcoin for trading on its Swap Execution Facility (""SEF""). The only two market participants authorised at the time to trade on Tera's SEF entered into two transactions in the Bitcoin non-deliverable forward contract. The transactions were for the same notional amount, price and tenor, and had the effect of offsetting each other exactly. At the time, these were the only transactions in the contract undertaken on Tera's SEF. Tera arranged for the two market participants to enter into the transactions telling one trader that the trade would be ""to test the pipes by doing a round-trip trade with the same price in, same price out, (i.e. no P/L [profit/loss] consequences) no custodian required."" Tera subsequently represented these to the public as bona fide trading activity.","CFTC, 2015, in the matter of TeraExchange","Rates and Credit, cryptoassets",33,Circular trading
31,Cross and wash trading of shares to artificially increase share price,"Between June 2008 and November 2009, Chionh and Kiew engaged in false trading in the shares of Keda Communications Limited (""Keda"") by crossing 52 trades with each other using trading accounts held with a securities firm. Chionh also conducted six wash trades in Keda through two of his trading accounts held with brokerage firms. By doing so, Chionh was essentially trading with himself. The 58 cross and wash trades collectively accounted for 34% of the total traded volume of Keda shares between June 2008 and November 2009. Many of the cross and wash trades also artificially raised the price of Keda shares, with increases ranging from 11% to 146% from the previous traded price.","Singapore MAS, 2017, in the matter of Chionh Teow Hie John and Kiew Yoon Seng",Equities,34,Circular trading
32,Matching buy and sell orders to generate tax-deductible losses,"According to public statements of the German Federal Financial Services Supervisory Authority, on 3 March 2017, the accused placed seven matching buy and sell orders for shares of the listed company PVA TePla AG which were harmonized regarding nominal value, trading limit and marketplace. By doing so, he intended to enter into trades in which he acted as seller as well as buyer. The orders represented approximately 85% of the traded daily volume in this stock and involved no change in beneficial ownership.
The accused confessed that he placed the matching orders to generate tax-deductible losses. Criminal charges against the accused were dropped by the district attorney.",PVA TePla AG 2019 (BaFin)-Germany,Equities,34,Circular trading
33,Rates derivatives – arranging wash trades to generate unwarranted brokerage,"The FCA found that between 2008 and 2011, a number of the brokers in the Rates Division at Tullett Prebon (Europe) Limited (""TPEL""), along with certain other traders, co-operated to place improper trades to increase the brokerage to TPEL. Between September 2008 and October 2010, 17 wash trades were arranged, generating total brokerage of over £314,000. For example, a wash trade was arranged on 16 February 2009. This involved two brokers at TPEL arranging for two traders at different banks to enter into two equal and opposite swaps trades. Both traders paid brokerage to their respective brokers. The FCA found that the motivation of the brokers at TPEL was to improve the profitability of their books, in turn leading to higher remuneration. The motivation of the traders at the banks who paid the brokerage to TPEL through the wash trades included the receipt of corporate hospitality and promises of assistance in the attempted manipulation of LIBOR. The FCA also found that between September 2008 and June 2011, six brokers on three different desks in the Rates Division arranged a number of three-party switches (or similar variations thereof), generating £76,000 of unwarranted brokerage. Like wash trades, these transactions were sometimes used as a mechanism for brokerage to be paid to TPEL in return for receipt of entertainment from brokers or as a favour to the broker or a tip.","FCA, 2019, in the matter of Tullett Prebon (Europe) Limited",Rates and Credit,35,Circular trading
34,Circular trading of high value trades in Danish and Belgian equities,"The FCA found that, between 10 February 2015 and 10 November 2015, Sapien failed to have in place adequate systems and controls to identify the risk of being used to facilitate ""Cum-Ex"" dividend arbitrage. The Solo Group introduced business to Sapien. Sapien executed purported OTC equity trades of approximately £2.5bn in Danish equities and £3.8bn in Belgian equities for Solo clients, receiving a gross commission of £297,044. The trading was a circular pattern of high value trades undertaken to avoid the normal need for payment and delivery of securities in the settlement process. The FCA found no evidence of change of ownership of the shares traded or custody of the shares and settlement of trades.","FCA, 2021, in the matter of Sapien Capital Ltd",Equities,35,Circular trading
35,Wash trading to ensure company remained in FTSE All Share Index,"The FCA found that an experienced trader, Adrian Horn, had engaged in market abuse by wash trading (executing trades with himself in the shares of McKay Securities Plc). During 18 July 2018 to 22 May 2019, Horn intentionally placed buy orders in McKay shares that traded with his existing sell orders (and vice versa), executing 129 wash trades in total. Horn executed these wash trades to ensure that a minimum number of shares were traded in McKay each day, which he believed was a requirement for McKay to remain in the FTSE All Share Index. Horn's wash trades resulted in other market participants seeing what they believed to be legitimate trades in McKay occurring. The wash trades also artificially inflated end of day trading volumes reported to the market.","FCA, 2021, in the matter of Adrian Horn",Equities,36,Circular trading
36,Meme stocks – wash trades,"In September 2021, Yong Lee entered into a Consent Judgment with the SEC admitting to engaging in a fraudulent scheme designed to collect liquidity rebates from exchanges by wash trading push options of certain ""meme stocks"" in early 2021. The SEC alleged that Lee along with Suyun Gu took advantage of the increased market volume and volatility driven by meme stocks being promoted on social media by using broker-dealer accounts to place non-marketable limit orders for out-of-the-money options and to obtain rebates for providing liquidity, while using separate broker-dealer accounts that did not charge fees for taking liquidity to place trades for the same put options on the other side of the market.","US 2021, SEC in the matter of Suyun Gu and Yong  Lee",Equities,36,Circular trading
37,"MINIs – prearranging price, volume and timing to transfer profit/loss","ASIC found that on 21 February and 3 June 2013, Davidof took part in back-to-back buy and sell trades in MINIs on ASX with a former employee of Credit Suisse after the pair had pre-arranged the price, volume and approximate timing of the trade. On each occasion, in the preceding days, the former employee had traded SPI Futures on behalf of Davidof resulting in a loss (in February) and a profit (in June) for Davidof.
ASIC found that the prices at which Davidof and the former employee arranged to trade MINIs were designed to transfer the profit/loss from all the preceding trading, without reflecting the SPI Futures that were actually traded. This was likely to have the effect of creating an artificial price for trading in the affected MINIs on ASX.","ASIC, 2015, in the matter of Tony Davidof",Equities,38,Circular trading
38,DAIICHI – misleading others to inhibit sale and purchase,"The SESC determined that the offender had used ""fraudulent means"" (under the Financial Instruments and Exchange Act) in relation to shares of Daiichi Kigenso Kagaku Kogyo Co., Ltd and six other stocks through sale and purchase entrustments without limit, with closed conditions of these securities inhibiting the sale and purchase of securities. The offender intended to mislead other persons into believing that the order statuses of the sale and purchase of the securities were maintained until closing and the sale and purchase of these securities before it affected market prices in his/her favor.","SESC, 2018, in the matter of Daiichi Kigenso Kagaku Kogyo Co., Ltd",Equities,40,Circular trading
39,Bonds – avoiding aging inventory limits,"In May 2011, Gonnella (a trader at Firm A), was about to incur aged inventory charges on positions in several asset-backed securities. On 31 May, Gonnella contacted King (a trader at Firm B) to undertake parking transactions in four bonds to avoid the aged inventory charges. King agreed to buy the bonds with the understanding that Gonnella would repurchase the bonds one day after the sale. Gonnella repurchased the bonds from King at one point more than King paid per bond, providing an immediate profit to Firm B at the expense of Firm A and allowing Gonnella to avoid the aged inventory charges. At the end of August and the beginning of September 2011, Gonnella offered three bonds to King which King agreed to buy on Firm B's behalf. The next day Gonnella repurchased two of the three bonds at higher prices and sold King five more bonds. Two days later, Gonnella repurchased the additional five bonds. In September 2011, Gonnella repurchased the last remaining bonds that he had sold to King in August.","SEC, 2014, in the matter of Gonnella",Rates and Credit,40,Circular trading
40,Parking unsold stock in client accounts without authorisation,"The firm was underwriter to an equity offering of 150,000 shares of Africa, a Delaware corporation. Under the terms of the offering, all 150,000 shares had to be sold within 60 days. The firm parked unsold stock in client accounts without client authorisation. On occasion this activity was undertaken by inflating the size of genuine client orders.","SEC, 1973, in the matter of Resch-Cassin & Co",Equities,40,Circular trading
